datahora,ativo,sinal_robo,preco_entrada,padrao,confianca,motivo,sinal_ideal_n1,resultado,lucro_pips_n1,pendente
2025-08-15 19:20:00,GBPUSD,0,1.35569,RandomForest:0|XGBoost:0|LSTM:1,0.76,random_forest:0|Conf:0.72|ConfEff:0.43|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.57|ConfEff:0.57|mp=0.402; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:25:00,EURUSD,0,1.17028,RandomForest:0|XGBoost:0|LSTM:1,0.72,random_forest:0|Conf:0.80|ConfEff:0.48|xgboost:0|Conf:0.81|ConfEff:0.42|lstm:1|Conf:0.54|ConfEff:0.54|mp=0.373; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:25:00,GBPUSD,0,1.3557,RandomForest:0|XGBoost:0|LSTM:1,0.76,random_forest:0|Conf:0.68|ConfEff:0.41|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.59|ConfEff:0.59|mp=0.418; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:30:00,EURUSD,0,1.1704,RandomForest:0|XGBoost:0|LSTM:1,0.81,random_forest:0|Conf:0.84|ConfEff:0.50|xgboost:0|Conf:0.97|ConfEff:0.42|lstm:1|Conf:0.61|ConfEff:0.61|mp=0.399; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:30:00,GBPUSD,1,1.3557,RandomForest:0|XGBoost:0|LSTM:1,0.84,random_forest:0|Conf:0.74|ConfEff:0.44|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.80|ConfEff:0.80|mp=0.480; Score_Reforco=0.0,0,errou,0.1,False
2025-08-15 19:35:00,EURUSD,0,1.17038,RandomForest:0|XGBoost:0|LSTM:1,0.83,random_forest:0|Conf:0.84|ConfEff:0.50|xgboost:0|Conf:0.98|ConfEff:0.42|lstm:1|Conf:0.66|ConfEff:0.66|mp=0.418; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:35:00,GBPUSD,1,1.35571,RandomForest:0|XGBoost:0|LSTM:1,0.87,random_forest:0|Conf:0.79|ConfEff:0.47|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.81|ConfEff:0.81|mp=0.476; Score_Reforco=0.0,0,errou,0.3,False
2025-08-15 19:40:00,EURUSD,0,1.17025,RandomForest:0|XGBoost:0|LSTM:1,0.85,random_forest:0|Conf:0.87|ConfEff:0.52|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.69|ConfEff:0.69|mp=0.421; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:40:00,GBPUSD,1,1.35574,RandomForest:0|XGBoost:0|LSTM:1,0.86,random_forest:0|Conf:0.83|ConfEff:0.50|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.76|ConfEff:0.76|mp=0.452; Score_Reforco=0.0,0,errou,-0.9,False
2025-08-15 19:45:00,EURUSD,0,1.17029,RandomForest:0|XGBoost:0|LSTM:1,0.88,random_forest:0|Conf:0.91|ConfEff:0.55|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.74|ConfEff:0.74|mp=0.434; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:45:00,GBPUSD,0,1.35565,RandomForest:0|XGBoost:0|LSTM:1,0.85,random_forest:0|Conf:0.87|ConfEff:0.52|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.67|ConfEff:0.67|mp=0.415; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:50:00,EURUSD,0,1.17024,RandomForest:0|XGBoost:0|LSTM:1,0.82,random_forest:0|Conf:0.80|ConfEff:0.48|xgboost:0|Conf:0.97|ConfEff:0.42|lstm:1|Conf:0.68|ConfEff:0.68|mp=0.431; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:50:00,GBPUSD,0,1.35558,RandomForest:0|XGBoost:0|LSTM:1,0.84,random_forest:0|Conf:0.86|ConfEff:0.52|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.67|ConfEff:0.67|mp=0.417; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:55:00,EURUSD,0,1.17037,RandomForest:0|XGBoost:0|LSTM:1,0.74,random_forest:0|Conf:0.80|ConfEff:0.48|xgboost:0|Conf:0.82|ConfEff:0.42|lstm:1|Conf:0.61|ConfEff:0.61|mp=0.402; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:55:00,GBPUSD,0,1.3557,RandomForest:0|XGBoost:0|LSTM:1,0.8,random_forest:0|Conf:0.78|ConfEff:0.47|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.63|ConfEff:0.63|mp=0.414; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:00:00,EURUSD,0,1.17026,RandomForest:0|XGBoost:0|LSTM:1,0.71,random_forest:0|Conf:0.75|ConfEff:0.45|xgboost:0|Conf:0.77|ConfEff:0.42|lstm:1|Conf:0.61|ConfEff:0.61|mp=0.412; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:00:00,GBPUSD,0,1.35558,RandomForest:0|XGBoost:0|LSTM:1,0.84,random_forest:0|Conf:0.84|ConfEff:0.50|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.67|ConfEff:0.67|mp=0.421; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:30:00,EURUSD,1,1.17004,RandomForest:0|XGBoost:0|LSTM:1,0.84,random_forest:0|Conf:0.81|ConfEff:0.49|xgboost:0|Conf:0.92|ConfEff:0.42|lstm:1|Conf:0.79|ConfEff:0.79|mp=0.465; Score_Reforco=0.0,0,errou,0.6,False
2025-08-15 20:30:00,GBPUSD,1,1.3554,RandomForest:0|XGBoost:0|LSTM:1,0.87,random_forest:0|Conf:0.83|ConfEff:0.50|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.78|ConfEff:0.78|mp=0.458; Score_Reforco=0.0,0,errou,1.7,False
2025-08-15 20:35:00,EURUSD,1,1.1701,RandomForest:0|XGBoost:0|LSTM:1,0.85,random_forest:0|Conf:0.82|ConfEff:0.49|xgboost:0|Conf:0.85|ConfEff:0.42|lstm:1|Conf:0.89|ConfEff:0.89|mp=0.494; Score_Reforco=0.0,0,errou,3.6,False
2025-08-15 20:35:00,GBPUSD,0,1.35557,RandomForest:0|XGBoost:0|LSTM:1,0.82,random_forest:0|Conf:0.79|ConfEff:0.47|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.68|ConfEff:0.68|mp=0.432; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:40:00,EURUSD,0,1.17046,RandomForest:0|XGBoost:0|LSTM:1,0.65,random_forest:0|Conf:0.71|ConfEff:0.43|xgboost:0|Conf:0.62|ConfEff:0.37|lstm:1|Conf:0.61|ConfEff:0.61|mp=0.433; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 20:40:00,GBPUSD,0,1.35584,RandomForest:0|XGBoost:0|LSTM:1,0.84,random_forest:0|Conf:0.86|ConfEff:0.52|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.67|ConfEff:0.67|mp=0.418; Score_Reforco=0.0,0,neutro,0.0,False
